Temporada,episodio_numero,titulo,fecha_emision,calificacion,votos_totales,descripcion
1,15,Smunday,2000-05-14,8.0,(747),"The boys were grounded for a while for losing Dewey's bike and can't wait for their release, but Lois is sick in bed and mistakes Monday for Sunday. But the boys appreciate the opportunity to ditch school. A letter from the academy arrives, which would cause some trouble for Francis and the boys decide to hide it, until they find out that it was Francis that sold them out about the bike. While the boys turn against Francis, Hal is at a Porsche shop and gets tempted to buy a car he can not possibly afford."
1,16,Water Park,2000-05-21,8.7,(904),"The family takes a day vacation at the water-park. All except Dewey, who has to stay home with an overage babysitter, which turns out to be more fun than expected. While Malcolm and Reese get into a loop of revenge-pranks, Hal and Lois try to enjoy the day off. As Dewey's babysitter hits the dance-floor, in more than one way, the youngest member of the family sets off on his own."
2,1,Traffic Jam,2000-11-05,8.6,(840),"As the family drives home from the water-park, they get stuck in a traffic jam. While each family members tries to deal with heat, stress and boredom in their own way, Dewey is roaming the country on his own."
2,2,Halloween Approximately,2000-11-08,8.1,(726),"When Francis shows up a week late for Halloween, he and the boys still manage to create the ultimate prank; Hal tries to catch a man who keeps speeding down the street, which leads to Lois and him stealing the car."
2,3,Lois's Birthday,2000-11-12,8.4,(796),"When Lois gives the boys $10 each to buy her a present, they decide to get something for themselves, which causes her to have grief. When Hal also forgets her birthday, Lois decides that is enough, so she escapes until the family finally decides that they need her. Meanwhile, Francis brings home a beautiful African woman."
2,4,Dinner Out,2000-11-15,8.0,(689),"Commandant Spangler announces his mother's visit and Francis uses the opportunity to organize a dance, for which he invites some local girls, which ends up to be a very different experience then the cadets expected. Meanwhile the Kenarbans invite the whole family to a nice dinner that turns into an evening of conflicts, as the families get to know each other better."
2,5,Casino,2000-11-19,7.9,(682),"The family is on a weekend-vacation in an native American casino. Francis uses this opportunity to go on vacation himself, by sneaking into his former home, but he is not the only one with that idea. While Hal, Reese and Malcolm get lost in the desert, Lois and Dewey enjoy a day of relaxation."
2,6,Convention,2000-11-22,8.1,(724),"Hal and Lois heads off to a convention while the boys stays home for the babysitter. Malcolm, Reese and Dewey assumed it's just another old woman, their parents hired to watch them. They decide to do a series of pranks on their babysitter, which includes the covered up sewer tank with a blanket and a book for the old woman sit on. To their surprise, their babysitter is a hot, teen-aged girl named Patty. She is sweet to them, but also bitter because she was rejected by Francis, a long time ago, because she was obese. Now the boys compete against each other to see who ..."
2,7,Robbery,2000-11-26,7.6,(656),"The night shift at Lucky Aide is held hostage by two robbers, since Craig does not want to give up the combination for the store's safe. Francis tries to help a heartbroken friend at the academy, while Hal and the boys fight nature at home."
2,8,Therapy,2000-11-29,7.7,(689),"In an attempt to avoid the worst moments of medieval week at his Krelboyne class, Malcolm spins a delicate web of deception for the school therapist. Francis takes over the laundry at the academy and Hal discovers that his youngest, Dewey, is a natural at skittles."
2,9,High School Play,2000-12-10,7.6,(691),Lois finds an amazing and cheap massage table at the grocery store and manages to become so relaxed that she doesn't even care about Hal and Dewey's LEGO city.
2,10,The Bully,2000-12-17,7.9,(660),"Reese, promising champion of his school's wrestling team, gets beaten by a girl, completely demoralizing him. So he gives up his school-bully carrier, which destabilizes the natural order of things at school. Francis tries to get out of academy at his birthday in an attempt to avoid academy-birthday-traditions."
2,11,Old Mrs. Old,2001-01-07,7.6,(654),"Malcolm accidentally hits a ball into grouchy old Mrs. Griffen's yard and, when going to retrieve it, he has a run-in with the old lady, accidentally making her fall and break her arm. As punishment, Malcolm must go over to Mrs. Griffen's house every day after school to help her out; Dewey begins carrying a purse to school rather than a back pack; Francis must deal with his screw-up friend Richie at military school."
2,12,Krelboyne Girl,2001-01-14,8.3,(713),"Lois and Hal try to end Dewey's dependence on his stuffed animal Domingo by convincing him that it is too dirty. Strangely attracted, Malcolm finds himself in emotional confusion about the new weird Krelboyne girl Cynthia. At the academy Commandant Spangler re-institutes old Hickory into the school's disciplinary system and Francis tries to convince his father Hal to lie for him to avoid punishment."
2,13,New Neighbors,2001-01-21,8.3,(744),"A new family moves into the next house and the family tries to make friends with them. As it turns out, all but the two men despise each other, which leaves them living their new-found friendship in secrecy. Francis finds Commandant Spangler emotionally devastated, questioning his own accomplishments, comparing himself to a prominent visitor to the academy."
2,14,Hal Quits,2001-02-04,7.7,(636),"Hal feels like his job is a piece of crap after going to Dewey's class for parent job day. So he decides to take a ""kidney failure"" weeks off. While Francis is forced to work at the lucky aid over spring break."
2,15,The Grandparents,2001-02-11,7.8,(637),"Lois' estranged parents, Ida and Victor, pay the family a visit. Right away, trouble starts brewing. Victor bonds with Reese, Ida gets Malcolm into a fight, and Dewey is haunted by childhood memories of his inattentive grandparents. To make matters worse, Grandpa Victor gives Reese a live grenade as a present, and worse comes to worse, the boob pulls the pin! Luckily the family survived the explosion, but their brand new, expensive refrigerator wasn't as lucky."
2,16,Traffic Ticket,2001-02-18,8.2,(665),"When Lois is arrested for having 16 unpaid parking tickets, she makes Francis pay for them and fights the cop in court for falsely accusing her of something she never did."
2,17,Surgery,2001-02-25,7.8,(619),"Francis organizes a hunger strike to get back the academy's TV, taken away by Commandant Spangler. Meanwhile Malcolm has to go to the hospital, leaving him in the children's ward and the family without their genius middle son."
2,18,Reese Cooks,2001-03-04,8.1,(640),"In an attempt to change the usual punishment pattern for Reese, Hal signs them both up for cooking classes, which turns out to be Reese's area of genius. Meanwhile Francis gets Eric into trouble because he did not yet finish his part of their co-op history assignment. Malcolm has the best intentions when he tries to explain to Cynthia that her planned party might end up with less then expected attendance."
2,19,Tutoring Reese,2001-03-11,8.0,(639),"Francis is home to repair the roof, while Reese has even more troubles with his grades than usual, although he is convinced that his Teacher Mr. Woodward is out to get him. While Dewey makes a new friend, Lois makes Malcolm tutor Reese and Malcolm soon finds out that Reese was right about Mr. Woodward all along."
2,20,Bowling,2001-04-01,9.3,"(1,289)","In this special episode, we see what would happen if Lois took the kids bowling and what would happen if Hal took them bowling. Lois keeps the kids under tight watch, making Malcolm's night miserable, since he's the worst bowler in the group; Hal is on the verge of a perfect game, Reese ticks off the wrong guy and runs for his life, and Malcolm finds a girl who is attracted to him."
2,21,Malcolm vs. Reese,2001-04-22,8.2,(636),Francis makes Reese and Malcolm fight each other and suck up to him for wrestling tickets. In the meantime Dewey takes care of Craig's cat Jellybean while he is gone to a comic convention.
2,22,Mini-Bike,2001-04-29,7.8,(592),"In this episode Craig still lives in Lois and Hal's house, because his one had been burnt down. That costs a lot of things on the whole family. Meanwhile, Malcolm and his brothers find a mini-bike in the garbage. At first they argue with each other, but after their mother banned the use of the bike, they join forces against her. At the same time Hal goes to Allabama to visit his son Francis for the Fathers-and-Sons meeting, where he expects some great achievements from his son. But what will happen after all that ?"
2,23,Carnival,2001-05-06,7.7,(608),"The boys and Stevie take off in the evening to visit the carnival but get into trouble, while the parents go searching for them."
2,24,Evacuation,2001-05-13,8.4,(657),"When the family gets a new couch, Hal loses the old one on the way to the dump, causing a train accident with dire consequences for the whole neighborhood. While Hal tries to make it up to society, Dewey makes people believe he is an orphan. Reese starts a black market, while Malcolm is grounded and confined to the bunk in the emergency camp. Meanwhile Eric takes Francis on a somewhat different double-date."
2,25,Flashback,2001-05-20,8.3,(690),"Lois is two weeks late with her period, causing her and Hal to panic and start a big fight, while trying to keep it from the boys. And while Dewey is scared that his parents may split up, Hal and Lois remember the troubles of getting their previous four sons."
3,1,Houseboat,2001-11-11,7.8,(632),"The family takes a vacation with the Kenarbans, sharing a houseboat. And while Steve's parents are caught in a fight, Reese and Steve socialize with some cheerleader from a nearby spirit camp, Malcolm is stuck with Hal fishing. At the military academy, Eric turns eighteen and leaves for Alaska, inspiring Francis to do something about his situation too."
3,2,Emancipation,2001-11-14,8.0,(626),"Being fed up with military school, Francis gets himself legally emancipated so he can go north to Alaska with his friend Eric and become a logger. This does not sit well at all with the family."
3,3,Book Club,2001-11-18,7.7,(606),"In a desperate bid to get to Alaska, Francis unintentionally ends up blowing things way out of proportion by landing himself in a sticky situation."
3,4,Malcolm's Girlfriend,2001-11-28,7.6,(609),Malcolm gets his first official girlfriend; Dewey hijacks his new friend's birthday party to better himself.
3,5,Charity,2001-12-02,8.1,(599),"Malcolm, Reese and Dewey ""volunteer"" to do charity work at the local church. They soon begin bartering the many items in the church basement in exchange for money, but when the boys start making more of a profit than the church, their consciences finally catch up to them. Meanwhile, arriving in Alaska to begin working with his former classmate, Eric, Francis learns quickly that his great expectations are more like a wilderness nightmare, and his new boss, Lavernia, may be the icing on the tundra."
3,6,Health Scare,2001-12-09,7.9,(590),"Dewey tries to prove he can take responsibility by taking care of the class hamster for the weekend, his efforts being ignored by his parents who secretly try to wait out possible bad news from Hal's doctor. Meanwhile Reese and Malcolm try to ditch home for a party and Francis has to fight Lavernia, his boss."
3,7,Christmas,2001-12-16,8.1,(599),"It's another Wilkerson family Christmas- Reese, Dewey and Malcolm misbehave a time too many, so Lois moves the tree and all the presents to the garage, which she called, ""holding Christmas hostage"". While Francis, much to his chagrin, goes to Canada to visit Grandma Ida, whose Christmas spirit was running on empty. Much like her gin bottles."
3,8,Poker,2002-01-06,8.0,(590),"After being invited to a game of poker by Abe, Hal is disappointed as the game turns out to be completely different from his expectations."
3,9,Reese's Job,2002-01-20,7.6,(559),"Reese lands a part time job at Circus Burger, which seems like a good job. Until he meets his supervisor, Francis' dim-witted friend Richie, who, along with his co-worker cohorts, set Reese up as a patsy."
3,10,Lois' Makeover,2002-01-27,7.8,(588),Lois is completely mortified when she is called slovenly at work and is asked to dress up her appearance.
3,11,Company Picnic: Part 1,2002-02-03,8.1,(661),"Malcolm and his family go to Hal's work picnic. Hal tries to avoid meeting the new boss and in return is mistaken for the boss. Dewey eats too much candy. Malcolm meets up with a girl from his past. In Alaska, Francis goes up against a girls ice hockey team in order to earn some much needed cash."
3,12,Company Picnic: Part 2,2002-02-03,8.1,(613),Reese and his partner from the scavenger hunt cause problems. Malcolm gets into trouble with a girl. Hal finally meets his new boss. Francis decides to cheat in the ice hockey match in order to win money. Dewey is on a sugar high.
3,13,Reese Drives,2002-02-10,8.2,(618),Reese goes on a high-speed car chase during drivers'-ed class.
3,14,Cynthia's Back,2002-02-17,7.8,(587),"Malcolm is shocked when he finds a major difference in Cynthia's physical appearance after her semester in Europe, and tries to save her from being the victim of Reese's selfish, evil plan after he accidently finds out."
3,15,Hal's Birthday,2002-03-03,7.8,(571),It's Hal's birthday and Lois has Francis come home to celebrate it with the family as a surprise. The surprise is on her and the rest of the family as Francis comes home with a wife he married in Alaska named Piama.
3,16,Hal Coaches,2002-03-10,7.5,(557),"Hal has finally made a deal with Ed for the boys to have their own computer. Unfortunately, it doesn't come without favors. They find out that Ed is a philanderer and has a ton of undeleted e-mails from the women in their neighborhood to prove it. Reese sees this as an opportunity to blackmail him to his own twisted scheme. Then, Hal decides to coach Dewey's losing team into better soccer players. Meanwhile, Piama is fed up with Lavernia mistreating Francis, and decides to make her pay for it. She steals her precious parakeet and holds it hostage until Lavernia treats..."
3,17,Dewey's Dog,2002-04-07,8.0,(576),"Upon coming home from school, Dewey adopts a dog named Marshmellow and decides to hold Malcolm and Reese hostage for all the things they did to him while he was growing up."
3,18,Poker #2,2002-04-21,7.8,(576),"Hal has his friends over to his house for their poker game, and tries to impress them in the process. Reese convinces two girls that Stevie has a fatal illness. Malcolm discover something dangerous in the house. Dewey has no place to go."
3,19,Clip Show,2002-04-28,6.4,(576),"Hal thinks that Malcolm, Reese and Dewey took a joyride and wrecked the cars, so he takes them to see a therapist."
3,20,Jury Duty,2002-05-01,7.5,(564),"Lois has to go on jury duty, and Hal tries to figure out what case she is on. Malcolm, Reese, Dewey, and Stevie go sewer pipe exploring. Francis goes ice fishing."
3,21,Cliques,2002-05-05,7.8,(566),"Malcolm and the rest of the Krelboynes are forced to re-join the rest of the school with disastrous results. Dewey is stuck at home with chicken pox and builds a dominoes masterpiece, which Hal wants to knock down."
3,22,Monkey,2002-05-12,8.1,(594),Craig hires an evil helper monkey. Reese catches a burglar and decides that he would like to try being in law enforcement. Francis and Piama are forced to leave Alaska.
4,1,Zoo,2002-11-03,7.9,(590),"The family goes to the zoo. Malcolm is going through a crisis, and he and Dewey find themselves in a unfortunate situation. Reese angers an animal at the zoo. Hal is jealous of a former flame of Lois's who works at the zoo."
4,2,Humilithon,2002-11-10,7.8,(580),"In a desperate attempt to get rid of his Krelboyne past and start afresh, Malcolm ends up making things even worser than they were."
4,3,Family Reunion,2002-11-17,8.7,(761),"Malcolm and his family goes to Hals father's house for a reunion. The family doesn't like Lois. Reese and Dewey try to get in their grandfathers will. Malcolm's grandfather takes a special interest in him, while the young cousins love Francis."
4,4,Stupid Girl,2002-11-24,7.6,(555),"Malcolm stops thinking in order to go out with a very dumb girl. Hal wins some money, and rents a steamroller."
4,5,Forwards Backwards,2002-12-01,7.7,(559),Today is Malcolm's birthday and unfortunately he and Reese are in a long prank war against each other. Meanwhile Francis does battle with a legend about an evil cow at the Grotto Ranch and Hal is forced to enlist Craig Feldspar to help him with a comic book present.
4,6,Forbidden Girlfriend,2002-12-15,7.8,(569),"Malcolm sneaks around to date a girl whose father hates him; Hal and Lois become more productive when they can't have sex for a week; Dewey discovers he's an ""evil twin""; Francis mediates a dispute between Otto and his cowboy neighbors."
4,7,Malcolm Holds His Tongue,2003-01-05,8.2,(609),"Malcolm is fed up with the fact that every time he complains, something wrong happens. He has recently got kicked off the basketball team and vows not to complain anymore. He receives good results by not complaining - he gets back on the team, negates Lois' anger by not talking back to her, and gains the respect of his girlfriend, Nicki, who shares a kiss with him. Next, Hal decides to be a speed waker and soon gets competitive with a local walker. Meanwhile, Reese wants to take Alison to a concert and the only driver he can find is Craig Feldspar. However, Craig has ..."
4,8,Boys at Ranch,2003-01-12,8.2,(587),"On a visit to Francis' dude ranch Hal can't help being disappointed in Francis' success, Reese and Malcolm fear Francis has turned into an overly responsible grownup, and Gretchen punishes Dewey for breaking a valuable doll."
4,9,Grandma Sues,2003-02-02,7.9,(566),"When Lois' mother visits, she trips on a leaf and decides to sue Hal and Lois...just as Lois finds out she's pregnant again."
4,10,If Boys Were Girls,2003-02-09,8.6,(766),Lois fantasies what her life would be like if she'd had girls instead of boys.
4,11,Long Drive,2003-03-02,7.7,(528),Lois uses a long drive with Malcolm to further his sex education; Reese spends a day in prison; Dewey plants seeds of discontent in Hal's vocal group; Francis has an accident branding Otto's favorite cow.
4,12,Kicked Out,2003-03-09,7.5,(531),"When Hal kicks Malcolm out of the house for misbehaving, Reese tries to take advantage of Hal's distraction to come up with a truly bad stunt of his own, and Francis takes offense when Otto's musician nephew plays a musical accompaniment to Francis' every move."
4,13,Stereo Store,2003-03-16,7.9,(573),"Hal lands a second job at an electronics store, while Malcolm is dumbfounded by their new babysitter, who's the same age as himself."
4,14,Hal's Friend,2003-03-30,7.6,(521),Hal spends a wild night with an old high school buddy; Malcolm tries to liberate Dabney from his mother's control; Francis spends the night with Otto when their wives are out of town.
4,15,Garage Sale,2003-04-06,7.8,(537),The family decides to hold a garage sale to fund repairs of the bedroom wall and Lois puts Reese in charge. Hal finds his old radio-transmitter and starts running a pirate broadcast like he once operated in college.
4,16,Academic Octathalon,2003-04-13,7.6,(512),Malcolm competes in an academic octathlon but hates the intensity of the other competitors; Hal fights to regain Dewey's love; Reese tries to get out of going to a formal dance; Francis and Piama's argument over chores proves highly contagious to other couples.
4,17,Clip Show #2,2003-04-20,6.5,(536),"As Lois and Hal write their wills in preparation for the baby's birth, they recall various colorful incidents with their four current children."
4,18,Reese's Party,2003-04-27,7.6,(538),"When Hal and Lois go on a less-than-romantic getaway, Reese throws a party at home, which is crashed by delinquent friends of Francis, who take over the garage and hold the boys hostage."
4,19,Future Malcolm,2003-05-04,7.5,(524),Malcolm meets a chess-playing bum who could be him in 30 years; Lois can't figure out why she's gaining weight; Dewey attributes his bizarre behavior to obeying requests from the fetus Lois is carrying; Francis objects to Piama posing nude in an art class.
4,20,Baby: Part 1,2003-05-11,8.0,(530),Hal takes the boys to a bridal show; Lois' mother wants to move in with the family; Malcolm gets an offer to enroll in a prestigious private school.
4,21,Baby: Part 2,2003-05-18,8.0,(532),"Lois continues with her strenuous labor, as friends and family all panic around her."
4,22,Day Care,2003-05-18,7.5,(517),The family joins a church in order to take advantage of the free day care; Francis concocts a UFO story to help the dude ranch.
5,1,Vegas,2003-11-02,7.6,(539),The family travels to Las Vegas when Hal experiences a dream about hitting the jackpot; Dewey and Reese enter an enormously obese rabbit in a contest; Lois gets to meet her favorite singer backstage; Otto and Francis get trapped in a well.
5,2,Watching the Baby,2003-11-09,7.8,(513),"When an exhausted Lois falls asleep, Hal goes out for diapers, only to be branded a shoplifter; three beautiful girls use Malcolm, Reese, and Stevie to embarrass their prom dates; Dewey tells the baby a fantastic tale to keep him from crying."
5,3,Goodbye Kitty,2003-11-16,7.8,(516),"Stevie goes into shock when he's told Kitty divorced Abe; Reese gets caught up in the hot-and-heavy entries in a diary, unaware it belongs to Lois; Otto and Francis have to put down an old horse; Dewey finds he likes the taste of baby food."
5,4,Thanksgiving,2003-11-23,8.2,(563),"It's another family Thanksgiving, as Reese cons Hal and Dewey into helping him out with the cooking. Francis and Piama are also there, but they're not even speaking to each other. Lois tries to intervene, but it goes nowhere, as Hal prevents her from intervening. Soon after, all the family members start arguing with each other, claiming that this is the worst Thanksgiving ever. Meanwhile, Kirsten has invited Malcolm to her house party. He's having a blast without his family dragging him down and calls it the best Thanksgiving he's ever had in his life."
5,5,Malcolm Films Reese,2003-11-30,7.6,(493),Malcolm's teacher forces him to secretly record Reese as he divulges his innermost secrets; Francis strikes back after a critic writes a scathing review about the hotel; Dewey starts his own novelty act at an outdoor mall; Hal's bosses are placed under arrest.
5,6,Malcolm's Job,2003-12-07,7.7,(495),"Lois gets Malcolm a job at the store, exposing Lois's well-kept secret; Hal and some other fathers start betting on babies; and sick of the way his brothers treat him, Dewey travels to the farm to visit Francis."
5,7,Christmas Trees,2003-12-14,7.8,(506),Hal and the boys enter the season of goodwill in a competitive spirit when the local church starts to undercut them on Christmas tree prices.
5,8,The Block Party,2004-01-04,7.9,(512),"Malcolm realizes the entire neighborhood has been throwing a block party when the family leaves town for an annual vacation; Hal and Lois participate in a kielbasa-eating contest; neighborhood kids pay money for a chance at beating up Reese; and Otto acquires a device for ""extracting seed"" from a bull."
5,9,Dirty Magazine,2004-01-11,7.7,(508),"When Malcolm becomes editor of the high school literary magazine, the principal instructs him to censor a well-written story; Lois encourages Hal to flirt with a new supervisor so he can keep his job; Francis teaches Otto how to waltz; and Reese pulls a prank on Dewey."
5,10,Hot Tub,2004-01-25,7.5,(487),"Lois and Hal clash after Hal purchases a hot tub; Malcolm gets his driver's permit, only to get mixed up in a dispute between Polly and her ex-boyfriend; and Reese steals Dewey's friend."
5,11,Ida's Boyfriend,2004-02-08,7.8,(493),"Grandma Ida makes another conjugal visit at the Wilkerson house. This time she isn't alone as she walks in with her beau, Mr. Li a wealthy, widowed Chinese man whom she met at a cruise. Hal and the boys see this as an opportunity to get Ida off their backs once and for all. But Lois thinks that her mother is up to no good as usual. Meanwhile, Malcolm has just got his tongue pierced, but it gets infected right away so he can't say any words that involves an ""s"" in them. On the day of his grandmother's wedding, he confirms his mother's suspicions when he finds ..."
5,12,Softball,2004-02-15,7.4,(482),"Malcolm volunteers for the company's softball team, only to realize that Lois is the coach; Francis sets out to prove he's not lazy; and Hal interviews for a job at a company that might be recruiting secret agents."
5,13,Lois' Sister,2004-02-22,7.6,(494),"Lois' younger sister, Susan, makes a surprise visit to the Wilkerson house. Immediately, she treats Malcolm, Reese, and Dewey like the sons she wishes she had with Hal instead of being single and alone. She also treats Lois as a plague in her life and blames her for being unmarried status. She tells the boys that ever since she caught their mother having sex with their father, she has refused to accept their relationship. However, Susan is plagued with a kidney disease and Lois tries to offer hers for her sister."
5,14,Malcolm Dates a Family,2004-03-14,8.0,(514),Lois has a dispute with Hal and the boys' favorite restaurant; Malcolm clicks with his girlfriend's family to the point where he forgets about his girlfriend; and Francis gets an assistant who tends to his every whim.
5,15,Reese's Apartment,2004-03-21,7.8,(508),"Reese is kicked out of home and soon discovers how expensive it is to rent an apartment. Meanwhile, Malcolm helps a football player apply for college."
5,16,Malcolm Visits College,2004-03-28,7.6,(489),"Lois accompanies Malcolm to his first college visit, where she clashes with a resident advisor; Reese pretends he's a drug user to woo a pretty narcotics officer; Francis and Otto open their own childcare center; and Dewey constructs his own musical instrument."
5,17,Polly in the Middle,2004-04-25,7.5,(494),Polly begins dating Abe and Craig; Malcolm refuses to believe in the power of Dewey's lucky shirt; the ranch hands make fun of Francis; and Lois takes the kids to a baseball convention.
5,18,Experiment,2004-05-02,7.7,(483),"Reese inadvertently perfects Malcolm and Stevie's science experiment, but can't remember how he did it; Dewey dreams up reasons for people to buy the candy he's selling door-to-door; and Francis aids a piglet."
5,19,Dewey's Special Class,2004-05-02,7.8,(528),"When Dewey is in danger of joining the Krelboynes, Malcolm interferes with disastrous results. Meanwhile Hal 'discovers' his latest mania when he sees Craig dancing in a family restaurant."
5,20,Victor's Other Family,2004-05-09,7.5,(487),"Lois has just found out that she has a half-sister named Roberta and brings Reese, Jamie and Malcolm with her to meet their aunt and cousins. Her step-mother, Sylvia comments that she looks exactly like Victor and gives her a warm welcome. Despite some nervous moments between them, they're getting along great. Lois thinks it's going to be nice, quality time with them until a furious and vengeful, Ida arrives at the house to spoil everything. She has lost the court case and demands for Victor's pension from his secret family. Meanwhile Hal and Dewey plan to go racing ..."
5,21,Reese Joins the Army: Part 1,2004-05-16,8.2,(523),"When Reese's girlfriend Beth cheats on him with Malcolm, he runs away to join the army; Meanwhile, Hal is arrested for supposedly hatching out an entire criminal scheme at his job."
5,22,Reese Joins the Army: Part 2,2004-05-23,8.4,(543),"Hal's trial continues as the evidence pointing against him grows; Meanwhile, at training camp, Reese and his team are captured by enemies because of Reese."
6,1,Reese Comes Home,2004-11-07,7.7,(508),"Reese, having deserted the army is trying to find his way home. Lois discovers his fate and goes in search - eventually to the Middle East. After cornering him with the help of some locals he is dragged 'all the way' back home by his ear. Meanwhile Malcolm and Dewey try to honor his probable death by doing something Reese would do."
6,2,Buseys Run Away,2004-11-14,7.9,(519),"Lois finally gets Dewey out of the Buseys special needs class. In response to losing their new 'leader' they run away to be with him. Hal still has no job and picks up a bunch of dumb, but nice, body builders for his latest manic craze."
6,3,Standee,2004-11-21,7.9,(496),Lois returns to work at the market as a probationary employee and takes offense at the racist advertising standee for malt liquor. She hopes Malcolm will see her point of view but he is resistant and this leads to a battle of wills between the two. Hal is involved in another battle of wills; this one with the garbage man.
6,4,Pearl Harbor,2004-12-05,8.1,(580),"Neighbor Jessica stays at the house, and pulls a prank on Malcolm and Reese convincing each of them that the other is gay; Meanwhile, Hal battles a neighbor in Christmas decorating."
6,5,Kitty's Back,2004-12-12,7.2,(481),"Kitty returns to the her family after leaving them. However, Lois refuses to accept her back in the neighborhood and refuses to talk to her."
